id,name,price,stock,category_id,store_id,description,slug,rating_avg,total_sold,is_active
019f3fc7-43f6-79f2-bd9c-20ace5071553,Glutinous Rice 2kg,38000.00,85,019f3fc7-07d5-7cd6-91bf-4998dd168342,019f3fc6-f6a7-7a53-8965-c0c5341a88d3,"Sticky glutinous rice, perfect for traditional desserts and dishes.",glutinous-rice-2kg,4.5,60,true
019f3fc7-46d3-7a9f-9112-221661990274,Yellow Corn Kernels 1kg,18000.00,100,019f3fc7-07d5-7cd6-91bf-4998dd168342,019f3fc6-f6a7-7a53-8965-c0c5341a88d3,"Sweet dried corn kernels, sun-dried for a rich natural flavor.",yellow-corn-kernels-1kg,4.4,42,true
019f3fc7-49b0-7ec8-bc1d-91b1904a6ef4,Fresh Turmeric 250g,9000.00,75,019f3fc7-0ab2-7093-9b76-296985717e08,019f3fc6-f984-7f8c-bc04-512791dff2a3,"Aromatic fresh turmeric root, rich in curcumin and great for cooking or health tonics.",fresh-turmeric-250g,4.7,95,true
019f3fc7-4c8d-7da7-9c44-50a757b1e105,Fresh Ginger 250g,8500.00,90,019f3fc7-0ab2-7093-9b76-296985717e08,019f3fc6-f984-7f8c-bc04-512791dff2a3,"Spicy and fragrant fresh ginger root, perfect for cooking and herbal drinks.",fresh-ginger-250g,4.6,102,true
019f3fc7-4f6a-796a-b769-d1102a30d097,Red Chili Pepper 250g,11000.00,60,019f3fc7-0ab2-7093-9b76-296985717e08,019f3fc6-f984-7f8c-bc04-512791dff2a3,"Fiery fresh red chili peppers, picked at peak spiciness.",red-chili-pepper-250g,4.5,88,true
019f3fc7-5247-7de1-89d9-7df7e2761614,Fresh Lemongrass 200g,6000.00,65,019f3fc7-0ab2-7093-9b76-296985717e08,019f3fc6-f984-7f8c-bc04-512791dff2a3,"Fragrant lemongrass stalks, ideal for soups, teas, and marinades.",fresh-lemongrass-200g,4.6,54,true
019f3fc7-5524-7c08-bcfc-5203620cea41,Bay Leaves 100g,5000.00,50,019f3fc7-0ab2-7093-9b76-296985717e08,019f3fc6-f984-7f8c-bc04-512791dff2a3,"Dried aromatic bay leaves, a staple for traditional Indonesian cooking.",bay-leaves-100g,4.3,30,true
019f3fc7-5801-78e3-aded-b3ccf1a0128c,Balinese Mangosteen 1kg,32000.00,40,019f3fc7-1349-7b3b-971e-393a41336fa3,019f3fc6-fc61-783a-901a-ecf05b66a58e,"Juicy and sweet mangosteen, known as the queen of tropical fruits.",balinese-mangosteen-1kg,4.8,76,true
019f3fc7-5ade-7cc3-8014-52057c00186c,Fresh Dragon Fruit 1kg,25000.00,55,019f3fc7-1349-7b3b-971e-393a41336fa3,019f3fc6-fc61-783a-901a-ecf05b66a58e,Vibrant pink dragon fruit with a mildly sweet taste and crunchy seeds.,fresh-dragon-fruit-1kg,4.6,68,true
019f3fc7-5dbb-74bd-9c58-6b08fe886cfa,Sweet Rambutan 1kg,22000.00,48,019f3fc7-1349-7b3b-971e-393a41336fa3,019f3fc6-fc61-783a-901a-ecf05b66a58e,"Sweet and juicy rambutan, harvested fresh from Balinese orchards.",sweet-rambutan-1kg,4.7,59,true
019f3fc7-6098-7f9e-9867-9e9d2622de7c,Golden Pineapple 1pc,18000.00,35,019f3fc7-021b-7ed4-86b0-1d06079b6b22,019f3fc6-fc61-783a-901a-ecf05b66a58e,"Sweet and tangy golden pineapple, perfect for fresh juice or desserts.",golden-pineapple-1pc,4.5,47,true
019f3fc7-6375-7738-bbf8-ab3e16ef5bda,Salak (Snake Fruit) 500g,15000.00,30,019f3fc7-1349-7b3b-971e-393a41336fa3,019f3fc6-fc61-783a-901a-ecf05b66a58e,Unique sweet and tangy snake fruit with a crisp texture.,salak-snake-fruit-500g,4.4,33,true
019f3fc7-6652-7c97-b6b5-b2be23ec4f29,Fresh Sweet Potato 1kg,10000.00,100,019f3fc7-0d8f-764f-92b1-b489d02be2fb,019f3fc6-ff3e-7b4d-ae2c-e73b0595290d,"Naturally sweet potatoes, great for roasting, boiling, or frying.",fresh-sweet-potato-1kg,4.6,91,true
019f3fc7-692f-7d2e-b9d5-cab0b5a6bc88,Purple Yam (Ubi Ungu) 1kg,12000.00,80,019f3fc7-0d8f-764f-92b1-b489d02be2fb,019f3fc6-ff3e-7b4d-ae2c-e73b0595290d,"Vibrant purple yam with a naturally sweet, earthy flavor.",purple-yam-ubi-ungu-1kg,4.5,64,true
019f3fc7-6c0c-7acb-9d68-d2096256a282,Fresh Cassava 1kg,7000.00,120,019f3fc7-0d8f-764f-92b1-b489d02be2fb,019f3fc6-ff3e-7b4d-ae2c-e73b0595290d,"Fresh cassava root, a versatile staple for traditional dishes and snacks.",fresh-cassava-1kg,4.4,70,true
019f3fc7-6ee9-7788-a84a-b0f570af6c08,Taro Root 1kg,13000.00,65,019f3fc7-0d8f-764f-92b1-b489d02be2fb,019f3fc6-ff3e-7b4d-ae2c-e73b0595290d,"Creamy and starchy taro root, perfect for soups and desserts.",taro-root-1kg,4.5,48,true
019f3fc7-71c6-7356-a09f-7929597931c5,Fresh Potato 1kg,9500.00,140,019f3fc7-0d8f-764f-92b1-b489d02be2fb,019f3fc6-ff3e-7b4d-ae2c-e73b0595290d,"All-purpose fresh potatoes, ideal for frying, mashing, or roasting.",fresh-potato-1kg,4.7,112,true
